epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,18334.6,0.61897,0.51506,1.01898,0.46001,0.34578,0.35512,0.23651,1.37467,2.35319,1.63858,6.1152e-05,6.1152e-05,6.1152e-05
42,18729.3,0.59018,0.46894,1.00084,0.44362,0.37282,0.3624,0.24398,1.33255,2.32276,1.613,5.53308e-05,5.53308e-05,5.53308e-05
43,19101.3,0.57345,0.4536,0.99329,0.42284,0.37466,0.35563,0.23978,1.33923,2.3825,1.60821,4.95096e-05,4.95096e-05,4.95096e-05
44,19448.9,0.56206,0.42682,0.99011,0.41588,0.38419,0.3636,0.24842,1.34516,2.37697,1.62689,4.36884e-05,4.36884e-05,4.36884e-05
45,19862.6,0.54727,0.41388,0.98166,0.50376,0.32833,0.36285,0.24538,1.34263,2.41082,1.62908,3.78672e-05,3.78672e-05,3.78672e-05
46,20213.8,0.53371,0.40334,0.96911,0.44353,0.36197,0.36746,0.2488,1.35038,2.39873,1.6346,3.2046e-05,3.2046e-05,3.2046e-05
47,20608.2,0.52212,0.38742,0.96241,0.48453,0.35273,0.36874,0.25184,1.3389,2.43606,1.62493,2.62248e-05,2.62248e-05,2.62248e-05
48,21084.7,0.52974,0.39583,0.96716,0.45365,0.35422,0.36566,0.24859,1.34844,2.44005,1.63673,2.04036e-05,2.04036e-05,2.04036e-05
49,21524.6,0.51216,0.37617,0.95676,0.42535,0.36912,0.36285,0.24577,1.35178,2.43515,1.64419,1.45824e-05,1.45824e-05,1.45824e-05
50,22032.3,0.51005,0.37852,0.95725,0.42246,0.3626,0.36424,0.24961,1.34405,2.44399,1.64221,8.7612e-06,8.7612e-06,8.7612e-06
